Statistical profiling result from isolate-0x140008000-75619-v8.log, (20595 ticks, 18236 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    703    3.4%          /Users/pliffdax/.nvm/versions/node/v22.16.0/bin/node

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ^undestroy node:internal/streams/destroy:173:19
      1    0.0%    0.0%  JS: ^transformToResult /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-response-controller.js:31:28
      1    0.0%    0.0%  JS: ^toString /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/jws@3.2.2/node_modules/jws/lib/tostring.js:4:35
      1    0.0%    0.0%  JS: ^test /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/media-typer@1.1.0/node_modules/media-typer/index.js:85:15
      1    0.0%    0.0%  JS: ^status /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/response.js:62:29
      1    0.0%    0.0%  JS: ^singleLoader /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:5631
      1    0.0%    0.0%  JS: ^shift node:internal/fixed_queue:81:8
      1    0.0%    0.0%  JS: ^setStreamTimeout node:internal/stream_base_commons:236:26
      1    0.0%    0.0%  JS: ^setHeader node:_http_outgoing:697:57
      1    0.0%    0.0%  JS: ^set node:_http_outgoing:250:16
      1    0.0%    0.0%  JS: ^s /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:5631
      1    0.0%    0.0%  JS: ^resume node:internal/streams/readable:1247:16
      1    0.0%    0.0%  JS: ^resOnFinish node:_http_server:980:21
      1    0.0%    0.0%  JS: ^request /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:3318
      1    0.0%    0.0%  JS: ^request /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:112:3464
      1    0.0%    0.0%  JS: ^reply /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+platform-express@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-me_03207ebf30d973e3fd35b79535ee468c/node_modules/@nestjs/platform-express/adapters/express-adapter.js:44:10
      1    0.0%    0.0%  JS: ^remove node:internal/linkedlist:16:16
      1    0.0%    0.0%  JS: ^register /Users/pliffdax/Projects/university/uniform-api/dist/StaticData/auth/auth.controller.js:24:19
      1    0.0%    0.0%  JS: ^readableAddChunkPushByteMode node:internal/streams/readable:463:38
      1    0.0%    0.0%  JS: ^read /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/body-parser@2.2.1/node_modules/body-parser/lib/read.js:40:15
      1    0.0%    0.0%  JS: ^qstring /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/content-type@1.0.5/node_modules/content-type/index.js:203:18
      1    0.0%    0.0%  JS: ^prepareSecretKey node:internal/crypto/keys:674:26
      1    0.0%    0.0%  JS: ^pipesFn /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-execution-context.js:143:25
      1    0.0%    0.0%  JS: ^parserOnMessageComplete node:_http_common:135:33
      1    0.0%    0.0%  JS: ^parserOnIncoming node:_http_server:1040:26
      1    0.0%    0.0%  JS: ^parserOnHeadersComplete node:_http_common:71:33
      1    0.0%    0.0%  JS: ^onError node:_http_incoming:439:17
      1    0.0%    0.0%  JS: ^onData /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/raw-body@3.0.2/node_modules/raw-body/index.js:254:19
      1    0.0%    0.0%  JS: ^normalizeType /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/type-is@2.0.1/node_modules/type-is/index.js:230:24
      1    0.0%    0.0%  JS: ^normalizeInput /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/jwa@1.4.2/node_modules/jwa/index.js:121:24
      1    0.0%    0.0%  JS: ^normalizeEncoding node:string_decoder:65:27
      1    0.0%    0.0%  JS: ^normalize /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/type-is@2.0.1/node_modules/type-is/index.js:155:20
      1    0.0%    0.0%  JS: ^next /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/router@2.2.0/node_modules/router/lib/route.js:119:17
      1    0.0%    0.0%  JS: ^newAsyncId node:internal/async_hooks:417:20
      1    0.0%    0.0%  JS: ^mr /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:5922
      1    0.0%    0.0%  JS: ^module.exports /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/jsonwebtoken@9.0.2/node_modules/jsonwebtoken/sign.js:86:27
      1    0.0%    0.0%  JS: ^mimeMatch /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/type-is@2.0.1/node_modules/type-is/index.js:189:20
      1    0.0%    0.0%  JS: ^middlewareArgsToRequestArgs /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:474
      1    0.0%    0.0%  JS: ^matchKnownFields node:_http_incoming:276:26
      1    0.0%    0.0%  JS: ^jd /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:5949
      1    0.0%    0.0%  JS: ^isRawAction /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:10846
      1    0.0%    0.0%  JS: ^isPromise /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/is-promise@4.0.0/node_modules/is-promise/index.js:4:19
      1    0.0%    0.0%  JS: ^isPreviewFeatureOn /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:10969
      1    0.0%    0.0%  JS: ^isObservable /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/rxjs@7.8.2/node_modules/rxjs/dist/cjs/internal/util/isObservable.js:6:22
      1    0.0%    0.0%  JS: ^isFinished /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/on-finished@2.4.1/node_modules/on-finished/index.js:66:21
      1    0.0%    0.0%  JS: ^invokeCustomFilters /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/exceptions/exceptions-handler.js:25:24
      1    0.0%    0.0%  JS: ^invokeCallback /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/raw-body@3.0.2/node_modules/raw-body/index.js:230:29
      1    0.0%    0.0%  JS: ^intercept /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/interceptors/interceptors-consumer.js:10:20
      1    0.0%    0.0%  JS: ^iconv._canonicalizeEncoding /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/iconv-lite@0.7.0/node_modules/iconv-lite/lib/index.js:114:40
      1    0.0%    0.0%  JS: ^i /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:962
      1    0.0%    0.0%  JS: ^header /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/response.js:670:29
      1    0.0%    0.0%  JS: ^handler /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-execution-context.js:36:25
      1    0.0%    0.0%  JS: ^handleWriteReq node:internal/stream_base_commons:46:24
      1    0.0%    0.0%  JS: ^getrouter /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/application.js:72:28
      1    0.0%    0.0%  JS: ^getTraceParent /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:1410
      1    0.0%    0.0%  JS: ^getPropertyValue /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:5617
      1    0.0%    0.0%  JS: ^getProfileById /Users/pliffdax/Projects/university/uniform-api/dist/StaticData/profiles/profile.service.js:23:25
      1    0.0%    0.0%  JS: ^getOrSetAsyncId node:internal/async_hooks:421:25
      1    0.0%    0.0%  JS: ^getOrCreate /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:1520
      1    0.0%    0.0%  JS: ^getObserverType node:internal/perf/observe:134:25
      1    0.0%    0.0%  JS: ^getDecoder /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/iconv-lite@0.7.0/node_modules/iconv-lite/lib/index.js:128:40
      1    0.0%    0.0%  JS: ^getColorDepth node:internal/tty:106:23
      1    0.0%    0.0%  JS: ^getCodec /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/iconv-lite@0.7.0/node_modules/iconv-lite/lib/index.js:64:36
      1    0.0%    0.0%  JS: ^getCachedHashId node:internal/crypto/util:112:25
      1    0.0%    0.0%  JS: ^getArgByIndex /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/helpers/execution-context-host.js:26:18
      1    0.0%    0.0%  JS: ^getAllAnswers /Users/pliffdax/Projects/university/uniform-api/dist/StaticData/answer/answer.controller.js:23:24
      1    0.0%    0.0%  JS: ^get node:internal/streams/writable:230:8
      1    0.0%    0.0%  JS: ^get node:internal/streams/writable:1010:8
      1    0.0%    0.0%  JS: ^get node:internal/streams/readable:229:8
      1    0.0%    0.0%  JS: ^get node:internal/streams/readable:1455:18
      1    0.0%    0.0%  JS: ^get node:internal/streams/readable:132:8
      1    0.0%    0.0%  JS: ^get node:internal/streams/duplex:161:8
      1    0.0%    0.0%  JS: ^get node:_http_outgoing:247:16
      1    0.0%    0.0%  JS: ^get /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/rxjs@7.8.2/node_modules/rxjs/dist/cjs/index.js:64:82
      1    0.0%    0.0%  JS: ^get /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:4504
      1    0.0%    0.0%  JS: ^get /Users/pliffdax/Projects/university/uniform-api/dist/StaticData/auth/auth.service.js:6:47
      1    0.0%    0.0%  JS: ^formatWithOptionsInternal node:internal/util/inspect:2283:35
      1    0.0%    0.0%  JS: ^formatWithOptions node:internal/util/inspect:2262:27
      1    0.0%    0.0%  JS: ^findAll /Users/pliffdax/Projects/university/uniform-api/dist/StaticData/question/question.service.js:19:18
      1    0.0%    0.0%  JS: ^findAll /Users/pliffdax/Projects/university/uniform-api/dist/StaticData/faculties/faculties.controller.js:22:12
      1    0.0%    0.0%  JS: ^endReadable node:internal/streams/readable:1682:21
      1    0.0%    0.0%  JS: ^emitReadable_ node:internal/streams/readable:830:23
      1    0.0%    0.0%  JS: ^emitReadable node:internal/streams/readable:819:22
      1    0.0%    0.0%  JS: ^emitCloseNT node:_http_server:1029:21
      1    0.0%    0.0%  JS: ^e /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:10004
      1    0.0%    0.0%  JS: ^done /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/raw-body@3.0.2/node_modules/raw-body/index.js:213:17
      1    0.0%    0.0%  JS: ^corsMiddleware /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:203:35
      1    0.0%    0.0%  JS: ^configureOrigin /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:36:27
      1    0.0%    0.0%  JS: ^compare /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/bcrypt@6.0.0/node_modules/bcrypt/bcrypt.js:176:17
      1    0.0%    0.0%  JS: ^closeSocketHandle node:net:347:27
      1    0.0%    0.0%  JS: ^clearBuffer node:internal/streams/writable:744:21
      1    0.0%    0.0%  JS: ^checkType /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/body-parser@2.2.1/node_modules/body-parser/lib/utils.js:43:29
      1    0.0%    0.0%  JS: ^checkListener node:events:274:23
      1    0.0%    0.0%  JS: ^baseClone /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/lodash@4.17.21/node_modules/lodash/lodash.js:2662:23
      1    0.0%    0.0%  JS: ^applyHeaders /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:144:24
      1    0.0%    0.0%  JS: ^apply /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-response-controller.js:14:16
      1    0.0%    0.0%  JS: ^append node:internal/linkedlist:30:16
      1    0.0%    0.0%  JS: ^append /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/vary@1.1.2/node_modules/vary/index.js:38:17
      1    0.0%    0.0%  JS: ^afterWriteDispatched node:internal/stream_base_commons:154:30
      1    0.0%    0.0%  JS: ^addChunk node:internal/streams/readable:550:18
      1    0.0%    0.0%  JS: ^ad /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:9724
      1    0.0%    0.0%  JS: ^_write node:internal/streams/writable:453:16
      1    0.0%    0.0%  JS: ^_onceWrap node:events:637:19
      1    0.0%    0.0%  JS: ^_i /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:9804
      1    0.0%    0.0%  JS: ^_finish node:_http_outgoing:1167:53
      1    0.0%    0.0%  JS: ^_destroy node:_http_incoming:218:55
      1    0.0%    0.0%  JS: ^_addListener node:events:546:22
      1    0.0%    0.0%  JS: ^_addHeaderLines node:_http_incoming:244:25
      1    0.0%    0.0%  JS: ^Ze /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:2433
      1    0.0%    0.0%  JS: ^Writable.write node:internal/streams/writable:504:36
      1    0.0%    0.0%  JS: ^StringDecoder node:string_decoder:81:23
      1    0.0%    0.0%  JS: ^Socket._writev node:net:977:36
      1    0.0%    0.0%  JS: ^Socket._write node:net:982:35
      1    0.0%    0.0%  JS: ^SafeMap node:internal/per_context/primordials:409:16
      1    0.0%    0.0%  JS: ^Readable node:internal/streams/readable:320:18
      1    0.0%    0.0%  JS: ^Qi /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:4286
      1    0.0%    0.0%  JS: ^OutgoingMessage node:_http_outgoing:105:25
      1    0.0%    0.0%  JS: ^Na /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:9860
      1    0.0%    0.0%  JS: ^InternalDecoder.end /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/iconv-lite@0.7.0/node_modules/iconv-lite/encodings/internal.js:61:42
      1    0.0%    0.0%  JS: ^InternalDecoder /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/iconv-lite@0.7.0/node_modules/iconv-lite/encodings/internal.js:49:26
      1    0.0%    0.0%  JS: ^IncomingMessage node:_http_incoming:50:25
      1    0.0%    0.0%  JS: ^HttpException /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_rxjs@7.8.2/node_modules/@nestjs/common/exceptions/http.exception.js:48:16
      1    0.0%    0.0%  JS: ^ExecutionContextHost /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/helpers/execution-context-host.js:5:16
      1    0.0%    0.0%  JS: ^Da /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:8381
      1    0.0%    0.0%  JS: ^Cn /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:16138
      1    0.0%    0.0%  JS: ^Ca /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:4760
      1    0.0%    0.0%  JS: ^AsyncResource node:async_hooks:168:14
      1    0.0%    0.0%  JS: ^<anonymous> node:internal/validators:176:40
      1    0.0%    0.0%  JS: ^<anonymous> node:internal/modules/cjs/loader:1479:36
      1    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/request.js:457:36
      1    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:204:37
      1    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/body-parser@2.2.1/node_modules/body-parser/lib/read.js:114:34
      1    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:3:5923
      1    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:10182
      1    0.0%    0.0%  JS: ^<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-execution-context.js:173:16
      1    0.0%    0.0%  JS: *writevGeneric node:internal/stream_base_commons:121:23
      1    0.0%    0.0%  JS: *writeHead node:_http_server:348:19
      1    0.0%    0.0%  JS: *vt /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:21:35625
      1    0.0%    0.0%  JS: *vn /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:5500
      1    0.0%    0.0%  JS: *urlencodedParser /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/body-parser@2.2.1/node_modules/body-parser/lib/types/urlencoded.js:57:36
      1    0.0%    0.0%  JS: *transformToResult /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-response-controller.js:31:28
      1    0.0%    0.0%  JS: *status /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/response.js:62:29
      1    0.0%    0.0%  JS: *start /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:112:1970
      1    0.0%    0.0%  JS: *slowCases node:internal/util:232:19
      1    0.0%    0.0%  JS: *set node:_http_outgoing:250:16
      1    0.0%    0.0%  JS: *sa /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:7515
      1    0.0%    0.0%  JS: *resolve node:path:1180:10
      1    0.0%    0.0%  JS: *readStream /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/raw-body@3.0.2/node_modules/raw-body/index.js:155:21
      1    0.0%    0.0%  JS: *read /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/body-parser@2.2.1/node_modules/body-parser/lib/read.js:40:15
      1    0.0%    0.0%  JS: *parserOnMessageComplete node:_http_common:135:33
      1    0.0%    0.0%  JS: *parseEngineResponse /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:112:136
      1    0.0%    0.0%  JS: *match /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/router@2.2.0/node_modules/router/lib/layer.js:178:40
      1    0.0%    0.0%  JS: *l /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:130:9346
      1    0.0%    0.0%  JS: *isValidCharset /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/body-parser@2.2.1/node_modules/body-parser/lib/types/json.js:86:21
      1    0.0%    0.0%  JS: *isTraceHTTPEnabled node:internal/http:40:28
      1    0.0%    0.0%  JS: *isString /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/cors@2.8.5/node_modules/cors/lib/index.js:15:20
      1    0.0%    0.0%  JS: *isObject /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_rxjs@7.8.2/node_modules/@nestjs/common/utils/shared.utils.js:6:18
      1    0.0%    0.0%  JS: *isEmpty node:internal/fixed_queue:96:10
      1    0.0%    0.0%  JS: *initAsyncResource node:internal/timers:164:27
      1    0.0%    0.0%  JS: *header /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/express@5.1.0/node_modules/express/lib/response.js:670:29
      1    0.0%    0.0%  JS: *hasbody /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/type-is@2.0.1/node_modules/type-is/index.js:93:18
      1    0.0%    0.0%  JS: *hasObserver node:internal/perf/observe:570:21
      1    0.0%    0.0%  JS: *getHighWaterMark node:internal/streams/state:33:26
      1    0.0%    0.0%  JS: *get node:internal/streams/readable:1415:8
      1    0.0%    0.0%  JS: *get node:internal/bootstrap/node:473:8
      1    0.0%    0.0%  JS: *get node:internal/bootstrap/node:100:8
      1    0.0%    0.0%  JS: *get node:_http_outgoing:247:16
      1    0.0%    0.0%  JS: *fromString node:buffer:480:20
      1    0.0%    0.0%  JS: *formatWithOptions node:internal/util/inspect:2262:27
      1    0.0%    0.0%  JS: *flow node:internal/streams/readable:1280:14
      1    0.0%    0.0%  JS: *enabled /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:3:5881
      1    0.0%    0.0%  JS: *emitReadable_ node:internal/streams/readable:830:23
      1    0.0%    0.0%  JS: *emitBeforeScript node:internal/async_hooks:509:26
      1    0.0%    0.0%  JS: *emitAfterScript node:internal/async_hooks:517:25
      1    0.0%    0.0%  JS: *e /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:10004
      1    0.0%    0.0%  JS: *debug /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/debug@4.4.3/node_modules/debug/src/common.js:66:17
      1    0.0%    0.0%  JS: *append node:internal/linkedlist:30:16
      1    0.0%    0.0%  JS: *afterWriteTick node:internal/streams/writable:693:24
      1    0.0%    0.0%  JS: *_unrefTimer node:net:525:52
      1    0.0%    0.0%  JS: *_dump node:_http_incoming:429:49
      1    0.0%    0.0%  JS: *Writable.uncork node:internal/streams/writable:520:37
      1    0.0%    0.0%  JS: *Writable.cork node:internal/streams/writable:513:35
      1    0.0%    0.0%  JS: *Readable.resume node:internal/streams/readable:1227:37
      1    0.0%    0.0%  JS: *Readable.push node:internal/streams/readable:387:35
      1    0.0%    0.0%  JS: *EventEmitter node:events:219:22
      1    0.0%    0.0%  JS: *Da /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:8381
      1    0.0%    0.0%  JS: *ContentType /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/content-type@1.0.5/node_modules/content-type/index.js:222:22
      1    0.0%    0.0%  JS: *<anonymous> node:internal/validators:459:42
      1    0.0%    0.0%  JS: *<anonymous> node:internal/validators:176:40
      1    0.0%    0.0%  JS: *<anonymous> node:internal/console/constructor:352:10
      1    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:31:5686
      1    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:29:11189
      1    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:950
      1    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@prisma+client@5.22.0_prisma@5.22.0/node_modules/@prisma/client/runtime/library.js:121:3453
      1    0.0%    0.0%  JS: *<anonymous> /Users/pliffdax/Projects/university/uniform-api/node_modules/.pnpm/@nestjs+core@11.1.9_@nestjs+common@11.1.9_class-validator@0.14.3_reflect-metadata@0.2.2_9800875a8e639f88bb9559e3cb8ac2de/node_modules/@nestjs/core/router/router-execution-context.js:173:16
      1    0.0%    0.0%  Builtin: TypedArrayPrototypeByteLength
      1    0.0%    0.0%  Builtin: TypedArrayConstructor
      1    0.0%    0.0%  Builtin: ToNumeric_Baseline
      1    0.0%    0.0%  Builtin: StringSubstring
